Category;Version;Gamified;GEX1;GEX2;GEX3;GEX4;GEX5;ENJ1;ENJ2;ENJ3;USE1;USE2;USE3;USE4;DIF1;DIF2;DIF3;DIF4;SAT1;SAT2;SAT3;SAT4;SAT5;SAT6;ENG1;ENG2_Original;ENG2_Inverse;ENG3;ENG4;ENG5;TotalAverage;ENJ;USE;DIF;SAT;ENG;OPE1;OPE2;OPE3;DEM1;DEM2;DEM3;DEM4;Score;StartDate;KAHOOT_Name;KAHOOT_Score;EndDate;Status;IPAddress;Progress;Duration__in_seconds_;Finished;RecordedDate;ResponseId;LocationLatitude;LocationLongitude
G1;1;1;15;4;4;2;4;3;3;3;3;3;3;2;3;2;4;3;3;3;3;3;2;2;2;5;1;2;3;2;2,63636363636364;3;2,75;3;2,66666666666667;2; ; ; ;3;1;40;1;9;4/23/2020 10:52:42;Matt;21000;4/23/2020 11:04:44;0;85.115.54.202;100;721;1;4/23/2020 11:04:44;R_Ab8noSEy6zFXFgl;51.553497314453125;-0.3090057373046875
G1;1;1;0;2;1;3;1;3;3;3;4;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;3,04545454545455;3;3,5;3;3;2,8; ;Not actually training - just reading on own - felt time pressured; ;3;1;54;5;12;4/23/2020 10:52:49;StevenKnight;30600;4/23/2020 11:04:56;0;85.115.52.202;100;726;1;4/23/2020 11:04:56;R_1Q3BUWBgdKECkTM;51.44830322265625;-0.08270263671875
G1;1;1;1;4;3;5;3;4;4;4;5;4;5;4;4;4;4;4;4;4;4;4;4;4;4;1;5;4;4;5;4,18181818181818;4;4,5;4;4;4,4;Interaction;Length;Reduce teh questions and more interaction i.e use of videos;3;1;47;3;9;4/23/2020 10:49:21;MP;20700;4/23/2020 11:09:11;0;85.115.53.202;100;1190;1;4/23/2020 11:09:11;R_UFUUl98sdNTjPb3;51.4897003173828125;-0.10650634765625
G1;1;1;0;1;1;2;1;2;3;3;4;4;3;4;4;3;4;4;3;5;2;4;5;3;4;2;4;1;4;2;3,40909090909091;2,66666666666667;3,75;3,75;3,66666666666667;3;Web based so easy to use;Could not go back an review information on earlier pages;To be able to go back to earlier pages, maybe add demonstrations (perhaps interactive?);3;2;46;4;12;4/23/2020 10:54:30;LLA; ;4/23/2020 11:10:17;0;85.115.54.202;100;946;1;4/23/2020 11:10:17;R_1FzD8TvrUY5s6Q6;51.4405975341796875;-0.14239501953125
G1;1;1;0;4;3;4;3;4;4;4;5;5;5;5;4;4;5;4;5;4;4;5;5;5;5;1;5;5;4;3;4,5;4;5;4,25;4,66666666666667;4,4;efficient it based learning;some of the images of spreadsheets were difficult to read;maybe make the spreadsheets animated;3;1;48;3;13;4/23/2020 10:53:22;John;29700;4/23/2020 11:12:14;0;85.115.52.202;100;1132;1;4/23/2020 11:12:14;R_3qZR4G8gW5PdJEz;51.44830322265625;-0.08270263671875
G1;1;1;0;1;1;4;3;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;4;4;5;3;3,95454545454545;3,66666666666667;4;4;4;4;interactive kahoot was good;very abstract questions;would have been better to have the training before the questionaire;3;1;63;2;9;4/23/2020 10:49:26;Rog;don't know;4/23/2020 11:12:44;0;85.115.54.202;100;1397;1;4/23/2020 11:12:44;R_9YcjORDjpWawuk1;51.4405975341796875;-0.14239501953125
G1;1;1;0;2;2;3;2;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;2;4;4;4;4;3,95454545454545;4;4;3,75;4;4;was comprehensive in time allowed;Not enough time to try and assess the system before;We should have a test run of systems before;3;1;64;5;13;4/23/2020 10:51:33; ; ;4/23/2020 11:14:08;0;85.115.54.202;100;1355;1;4/23/2020 11:14:09;R_242Y4DPXioLK6be;51.4405975341796875;-0.14239501953125
G1;1;1;7;4;2;4;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;4;4;4;3;3,95454545454545;4;4;4;4;3,8;The interactive nature;Having not used the new stage gate system I was not overly familiar with the screenshots. Some questions that related directly to these screenshots were not very useful.;The platform itself is good - some questions were not particularly relevant. Revise some of the questions to ensure that they are all relevant and full benefit can be gained from the training platform;3;1;40;3;15;4/23/2020 10:49:49;qwerty;27200;4/23/2020 11:14:09;0;85.115.52.202;100;1460;1;4/23/2020 11:14:09;R_122V50Ka33g1PVs;51.5758056640625;-0.4248046875
G1;1;1;0;1;1;4;2;5;4;5;5;5;5;5;4;4;5;4;5;4;4;5;5;5;5;1;5;4;4;4;4,59090909090909;4,66666666666667;5;4,25;4,66666666666667;4,4;The format, the layout,;Too much talking. Lost concentration and had to re-read the questions. Snapshots on the  screen need to be clearer - a bit blurred;A little more time please;3;1;61;5;11;4/23/2020 10:52:25;Gooner;25400;4/23/2020 11:14:40;0;85.115.53.202;100;1334;1;4/23/2020 11:14:40;R_3ffztxVy5qXkPLa;51.4897003173828125;-0.10650634765625
G1;1;1;0;3;2;4;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;4;4;4;3;3,95454545454545;4;4;4;4;3,8;Interactive Kahoot was good;Nothing;Stop the talking whilst completing the questions as it was distracting;3;1;56;5;9;4/23/2020 10:57:19;DWP;28300;4/23/2020 11:17:47;0;85.115.53.202;100;1228;1;4/23/2020 11:17:48;R_1ikZAsjtd4RJ8Qd;51.4897003173828125;-0.10650634765625
